number,exp,child,tax,fin,natur,edu,self
1737,97980.77,1,0.0,7500,10113.74,2.0,3.0
1738,118401.88,1,28740.0,2500,2000.0,4.0,2.0
1739,152660.04,3,33400.0,22500,0.0,2.0,2.0
1740,170354.6,2,31800.0,7500,3400.0,3.0,3.0
1741,66187.1,1,0.0,0,0.0,3.0,3.0
1742,60396.28,1,0.0,0,0.0,2.0,2.0
1743,124030.54,2,24480.0,0,0.0,3.0,3.0
1744,160046.32,2,46000.0,1200,0.0,3.0,3.0
1745,94233.75,1,15300.0,0,0.0,5.0,3.0
1746,144298.75,1,31200.0,0,0.0,5.0,3.0
1747,72320.42,1,0.0,2500,0.0,4.0,2.0
1748,194968.03,1,46340.0,12500,0.0,5.0,4.0
1749,233494.79,3,42590.0,12500,0.0,2.0,3.0
1750,207894.3,1,61510.0,17500,0.0,5.0,4.0
1751,161818.8,1,30950.0,12500,0.0,4.0,4.0
1752,184619.57,1,19350.0,2500,0.0,5.0,3.0
1753,147757.3,1,30000.0,0,0.0,4.0,3.0
1754,223201.12,1,42750.0,0,0.0,5.0,4.0
1755,149864.46,1,34400.0,55000,0.0,4.0,3.0
1756,186160.04,1,44200.0,56500,0.0,3.0,3.0
1757,238728.63,1,38000.0,10000,0.0,5.0,3.0
1758,101164.34,1,20400.0,2500,0.0,5.0,3.0
1759,54742.19,1,14960.0,12500,0.0,3.0,3.0
1760,174887.29,1,37970.0,7500,0.0,4.0,3.0
1761,68345.11,1,28790.0,2500,0.0,3.0,3.0
1762,51302.39,1,0.0,12500,0.0,5.0,3.0
1763,201341.56,1,38778.0,5000,0.0,5.0,4.0
1764,182328.18,1,64080.0,12500,0.0,5.0,3.0
1765,143889.07,1,0.0,2500,0.0,5.0,3.0
1766,152899.9,1,46504.0,12500,0.0,5.0,4.0
1767,156538.75,1,0.0,0,0.0,5.0,3.0
1768,179052.95,1,21446.0,2500,0.0,5.0,3.0
1769,151136.77,1,22904.0,0,0.0,5.0,3.0
1770,237611.49,1,67996.0,12500,0.0,5.0,4.0
1771,129452.75,1,37430.0,0,0.0,5.0,4.0
1772,73921.08,1,13490.0,2500,0.0,5.0,3.0
1773,108094.85,1,17860.0,2500,0.0,4.0,4.0
1774,130936.12,1,25350.0,87500,0.0,4.0,3.0
1775,107307.2,1,18984.0,7500,0.0,5.0,3.0
1776,172912.24,1,46645.0,137500,0.0,4.0,3.0
1777,99603.63,1,0.0,-50000,0.0,5.0,2.0
1778,90974.61,1,0.0,0,0.0,5.0,2.0
1779,224076.45,1,38020.0,45000,0.0,5.0,3.0
1780,130256.54,1,32727.03,0,0.0,3.0,2.0
1781,55259.8,1,0.0,0,0.0,5.0,3.0
1782,108760.68,1,27001.0,0,0.0,4.0,3.0
1783,128701.77,1,42459.0,0,0.0,4.0,5.0
1784,159845.6,1,51700.0,17500,0.0,4.0,3.0
1785,84859.29,1,0.0,2500,0.0,5.0,3.0
1786,109914.73,1,25950.0,2500,0.0,4.0,3.0
1787,199209.02,2,78000.0,45000,0.0,3.0,5.0
1788,225612.5,2,70200.0,45000,0.0,3.0,5.0
1789,139195.0,1,11700.0,7500,0.0,3.0,3.0
1790,168972.36,1,27300.0,2500,0.0,4.0,3.0
1791,113610.82,1,23790.0,22500,0.0,4.0,4.0
1792,145619.69,1,25832.0,2500,0.0,5.0,3.0
1793,135518.49,3,23298.0,2500,0.0,2.0,3.0
1794,226094.18,1,40080.0,2500,0.0,5.0,3.0
1795,182237.09,1,25398.0,2500,0.0,4.0,3.0
1796,156294.43,3,26200.0,7500,0.0,2.0,3.0
1797,330933.04,2,40800.0,2500,0.0,3.0,3.0
1798,212073.15,2,62140.0,12500,0.0,3.0,4.0
1799,225774.57,1,64490.0,45000,0.0,4.0,4.0
1800,241211.5,1,34430.0,2500,0.0,3.0,3.0
1801,139770.5,2,26700.0,5000,0.0,2.0,3.0
1802,256321.41,1,35468.0,12500,0.0,5.0,3.0
1803,124498.09,1,38600.0,55000,0.0,5.0,3.0
1804,224138.99,2,30420.0,0,0.0,3.0,2.0
1805,112274.29,1,36300.0,7500,0.0,5.0,2.0
1806,110836.87,1,23000.0,2500,0.0,4.0,2.0
1807,129711.09,2,25000.0,12500,0.0,3.0,2.0
1808,274864.94,2,60743.0,7500,0.0,3.0,4.0
1809,244352.43,3,49509.0,45000,0.0,2.0,4.0
1810,184055.74,2,41800.0,7500,0.0,3.0,3.0
1811,159902.19,1,24100.0,17500,0.0,4.0,4.0
1812,210935.66,2,31970.0,12500,0.0,3.0,3.0
1813,440520.62,1,83680.0,17500,0.0,5.0,3.0
1814,172924.57,2,50240.0,1000,0.0,3.0,3.0
1815,116690.17,1,24050.0,500,0.0,5.0,4.0
1816,310246.48,1,78930.0,1000,0.0,5.0,6.0
1817,161300.22,2,50440.0,-43800,0.0,4.0,6.0
1818,116655.83,1,31580.0,700,0.0,5.0,4.0
1819,205582.63,1,38531.0,32400,0.0,5.0,5.0
1820,195312.52,3,36500.0,0,0.0,3.0,3.0
1821,75283.14,1,0.0,2500,0.0,5.0,3.0
1822,57298.54,1,0.0,0,0.0,5.0,3.0
1823,129147.42,1,44700.0,17500,0.0,5.0,3.0
1824,122730.45,1,62700.0,17500,0.0,4.0,3.0
1825,111869.57,1,44900.0,0,0.0,4.0,4.0
1826,259100.72,1,22000.0,32000,0.0,5.0,3.0
1827,80850.45,1,0.0,50000,0.0,5.0,3.0
1828,224712.01,2,33500.0,5000,0.0,3.0,4.0
1829,238239.29,2,57000.0,150000,0.0,3.0,5.0
1830,219721.79,1,52399.0,4000,0.0,4.0,3.0
1831,289849.84,1,33893.0,2500,0.0,4.0,4.0
1832,167954.85,2,28140.0,4000,0.0,4.0,3.0
1833,140310.94,1,33424.0,4000,0.0,5.0,3.0
1834,163816.62,1,40960.0,2500,0.0,5.0,4.0
1835,127720.04,1,23410.0,2000,0.0,5.0,2.0
1836,205047.35,3,30850.0,3000,0.0,3.0,3.0
1837,133646.21,1,52000.0,600,0.0,5.0,5.0
1838,288210.28,1,82800.0,1500,0.0,5.0,0.0
1839,229984.08,2,62900.0,3000,0.0,3.0,0.0
1840,175368.96,1,0.0,2000,0.0,4.0,3.0
1841,261991.53,3,39050.0,2700,0.0,2.0,5.0
1842,204676.54,1,57100.0,3000,0.0,4.0,0.0
1843,114351.77,1,21900.0,2500,0.0,5.0,0.0
1844,132718.66,1,58700.0,12500,0.0,4.0,4.0
1845,137308.86,1,35900.0,7500,0.0,5.0,3.0
1846,136231.71,1,35021.0,7500,0.0,5.0,4.0
1847,105653.88,1,19000.0,12500,2500.0,4.0,3.0
1848,217096.88,1,63000.0,12500,0.0,5.0,3.0
1849,113006.84,1,12480.0,3000,0.0,5.0,3.0
1850,90130.65,1,17740.0,-3500,0.0,3.0,3.0
1851,208533.03,2,44335.0,-15000,0.0,3.0,4.0
1852,170317.23,1,32720.0,0,0.0,5.0,4.0
1853,96921.34,3,5604.0,0,0.0,2.0,2.0
1854,310092.61,2,48886.0,0,0.0,3.0,4.0
1855,185241.57,2,41150.0,-13900,0.0,3.0,4.0
1856,226361.28,1,51000.0,2000,0.0,4.0,4.0
1857,191472.76,1,29530.0,300,0.0,4.0,4.0
1858,101271.67,1,0.0,1100,0.0,5.0,2.0
1859,61956.54,1,0.0,400,0.0,4.0,2.0
1860,85863.46,1,11700.0,600,0.0,4.0,2.0
1861,211930.19,1,39920.0,13000,0.0,5.0,4.0
1862,260251.16,2,34580.0,7500,0.0,3.0,4.0
1863,258613.59,1,36530.0,2500,0.0,5.0,4.0
1864,220890.03,1,30280.0,2500,0.0,5.0,4.0
1865,340175.05,1,37050.0,17500,0.0,5.0,4.0
1866,145834.05,1,17300.0,7500,0.0,5.0,4.0
1867,154391.72,1,34750.0,2500,0.0,5.0,5.0
1868,166713.42,1,41700.0,7500,0.0,5.0,5.0
1869,167799.44,2,44400.0,2500,0.0,3.0,4.0
1870,214915.03,1,47996.0,2500,0.0,5.0,4.0
1871,209971.35,1,46560.0,2500,0.0,5.0,4.0
1872,212683.13,1,39844.0,2500,0.0,3.0,3.0
1873,269234.13,1,42300.0,2500,0.0,4.0,3.0
1874,139574.24,2,31200.0,12500,0.0,3.0,4.0
1875,68280.76,1,0.0,7500,0.0,4.0,3.0
1876,216043.97,1,56255.0,0,0.0,4.0,6.0
1877,176434.0,2,44380.0,0,0.0,3.0,6.0
1878,187656.12,1,68705.0,35000,0.0,5.0,6.0
1879,191574.45,2,55535.0,0,0.0,3.0,6.0
1880,92031.56,1,36900.0,2500,0.0,4.0,4.0
1881,128382.35,2,25900.0,2500,0.0,3.0,4.0
1882,88167.17,1,0.0,2500,0.0,4.0,2.0
1883,168680.74,1,37750.0,2500,0.0,5.0,3.0
1884,407270.92,2,144500.0,112500,0.0,3.0,6.0
1885,57438.0,1,2500.0,22500,0.0,5.0,3.0
1886,109404.72,1,47000.0,137500,0.0,4.0,3.0
1887,203048.78,1,57900.0,87500,0.0,4.0,3.0
1888,172557.26,1,28800.0,45000,0.0,4.0,3.0
1889,194281.71,2,33792.0,35000,20928.39,3.0,3.0
1890,238099.92,2,61406.0,27500,8000.0,4.0,4.0
1891,225870.35,3,42249.0,12500,19094.55,2.0,4.0
1892,135049.74,1,25840.0,0,0.0,5.0,3.0
1893,235091.13,1,43694.0,0,0.0,4.0,3.0
1894,130913.6,1,28033.0,7500,0.0,4.0,3.0
1895,182773.55,1,43383.0,2500,0.0,5.0,4.0
1896,268562.62,1,37708.0,-55000,700.0,4.0,3.0
1897,137276.43,1,21546.0,2500,3700.0,5.0,3.0
1898,234406.43,3,38530.0,0,0.0,3.0,3.0
1899,121434.94,2,16730.0,0,0.0,2.0,3.0
1900,64977.45,1,1930.0,0,0.0,5.0,2.0
1901,213168.84,1,21330.0,-47500,9000.0,5.0,6.0
1902,319333.06,3,26395.0,-12500,36243.78,2.0,5.0
1903,240710.13,2,35100.0,75000,7012.28,3.0,5.0
1904,78080.98,1,0.0,12500,0.0,2.0,2.0
1905,211515.12,2,30016.0,2500,0.0,2.0,6.0
1906,198107.32,1,65543.0,7500,0.0,5.0,4.0
1907,226369.12,1,49484.0,0,0.0,5.0,4.0
1908,244950.54,1,49362.0,2500,0.0,4.0,4.0
1909,172736.71,2,41102.0,0,0.0,3.0,4.0
1910,156848.21,1,19602.0,0,0.0,3.0,3.0
1911,262782.87,1,36042.0,0,0.0,5.0,4.0
1912,327000.72,1,44343.0,7500,0.0,5.0,4.0
1913,120823.01,1,29576.0,22500,0.0,5.0,3.0
1914,140998.61,2,39538.0,7500,0.0,3.0,3.0
1915,167145.03,3,47319.0,12500,0.0,3.0,4.0
1916,112401.44,1,20000.0,0,0.0,5.0,6.0
1917,153002.63,1,40700.0,7500,0.0,5.0,6.0
1918,122533.26,1,30500.0,2500,0.0,4.0,4.0
1919,59627.08,1,0.0,0,9855.13,4.0,2.0
1920,181442.2,1,40710.0,0,0.0,3.0,3.0
1921,103185.7,1,19650.0,0,0.0,5.0,3.0
1923,202024.32,1,32720.0,12500,7500.0,4.0,4.0
1924,204707.11,2,43850.0,7500,0.0,4.0,4.0
1925,147967.11,1,35270.0,7500,1928.44,5.0,3.0
1926,196795.95,1,41765.0,7500,0.0,4.0,4.0
1927,121707.99,1,12220.0,7500,0.0,4.0,3.0
